index,North,South,West,East,ND,SD,WD,ED
1,,,7,,,,3,
2,,3,,,,3,,
3,2,,9,,3,,3,
4,,5,10,,,3,3,
5,4,6,11,,3,3,3,
6,5,,12,,3,,3,
7,,8,13,1,,3,3,3
8,7,9,,,3,3,,
9,8,10,15,3,3,3,3,3
10,9,11,16,4,3,3,3,3
11,10,12,,5,3,3,,3
12,11,,,6,3,,,3
13,,,19,7,,,3,3
14,,15,20,,,3,3,
15,14,,,9,3,,,3
16,,17,22,10,,3,3,3
17,16,18,23,,3,3,3,
18,17,,,,3,,,
19,,,,13,,,,3
20,,21,,14,,3,,3
21,20,,27,,3,,3,
22,,,,16,,,,3
23,,24,29,17,,3,3,3
24,23,,,,3,,,
25,,26,,,,3,,
26,25,27,,,3,3,,
27,26,,33,21,3,,3,3
28,,,34,,,,3,
29,,30,35,23,,3,3,3
30,29,,36,,3,,3,
31,,,37,,,,3,
32,,33,38,,,3,3,
33,32,,39,27,3,,3,3
34,,35,40,28,,3,3,3
35,34,36,,29,3,3,,3
36,35,,42,30,3,,3,3
37,,38,,31,,3,,3
38,37,,44,32,3,,3,3
39,,40,,33,,3,,3
40,39,41,46,34,3,3,3,3
41,40,42,47,,3,3,3,
42,41,,,36,3,,,3
43,,44,,,,3,,
44,43,45,,38,3,3,,3
45,44,,,,3,,,
46,,,,40,,,,3
47,,48,,41,,3,,3
48,47,,,,3,,,
