index,North,South,West,East,ND,SD,WD,ED
1,,2,,,,3,,
2,1,3,8,,3,3,3,
3,2,4,,,3,3,,
4,3,5,,,3,3,,
5,4,6,11,,3,3,3,
6,5,,12,,3,,3,
7,,,13,,,,3,
8,,9,,2,,3,,3
9,8,,15,,3,,3,
10,,11,,,,4,,
11,10,12,17,5,4,3,3,3
12,11,,18,6,3,,3,3
13,,14,,7,,3,,3
14,13,,20,,3,,3,
15,,,21,9,,,3,3
16,,17,22,,,3,3,
17,16,,,11,3,,,3
18,,,24,12,,,3,3
19,,20,,,,3,,
20,19,21,26,14,3,3,3,3
21,20,22,,15,3,3,,3
22,21,23,28,16,3,3,3,3
23,22,,,,3,,,
24,,,,18,,,,3
25,,,31,,,,3,
26,,27,32,20,,4,3,3
27,26,,,,4,,,
28,,29,34,22,,3,3,3
29,28,,,,3,,,
30,,,36,,,,3,
31,,32,37,25,,3,3,3
32,31,33,38,26,3,3,3,3
33,32,34,39,,3,3,3,
34,33,35,40,28,3,3,3,3
35,34,36,,,3,3,,
36,35,,,30,3,,,3
37,,,43,31,,,3,3
38,,39,44,32,,3,3,3
39,38,,,33,3,,,3
40,,,46,34,,,3,3
41,,42,47,,,3,3,
42,41,,,,3,,,
43,,,,37,,,,3
44,,45,,38,,3,,3
45,44,46,,,3,3,,
46,45,47,,40,3,3,,3
47,46,48,,41,3,3,,3
48,47,,,,3,,,
